Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.100-192.168.1.1-65535-80-6,192.168.1.100,65535,192.168.1.1,80,6,2025-01-01 00:00:00,100,2,0,40,0,40,0,20,20,0,0,0,0,400000.0,20000.0,50,0,50,50,100,50,0,50,50,0,0,0,0,0,0,0,0,0,80,0,20000.0,0.0,0,40,20,20,400,0,1,0,0,0,0,0,0,1,20,20,0,80,0,0,0,0,0,0,2,40,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
192.168.1.100-192.168.1.1-65534-80-6,192.168.1.100,65534,192.168.1.1,80,6,2025-01-01 00:00:01,100,2,0,40,0,40,0,20,20,0,0,0,0,400000.0,20000.0,50,0,50,50,100,50,0,50,50,0,0,0,0,0,0,0,0,0,80,0,20000.0,0.0,0,40,20,20,400,0,1,0,0,0,0,0,0,1,20,20,0,80,0,0,0,0,0,0,2,40,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
192.168.1.100-192.168.1.1-65533-80-6,192.168.1.100,65533,192.168.1.1,80,6,2025-01-01 00:00:02,100,2,0,40,0,40,0,20,20,0,0,0,0,400000.0,20000.0,50,0,50,50,100,50,0,50,50,0,0,0,0,0,0,0,0,0,80,0,20000.0,0.0,0,40,20,20,400,0,1,0,0,0,0,0,0,1,20,20,0,80,0,0,0,0,0,0,2,40,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
192.168.1.100-192.168.1.1-65532-80-6,192.168.1.100,65532,192.168.1.1,80,6,2025-01-01 00:00:03,100,2,0,40,0,40,0,20,20,0,0,0,0,400000.0,20000.0,50,0,50,50,100,50,0,50,50,0,0,0,0,0,0,0,0,0,80,0,20000.0,0.0,0,40,20,20,400,0,1,0,0,0,0,0,0,1,20,20,0,80,0,0,0,0,0,0,2,40,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
192.168.1.100-192.168.1.1-65531-80-6,192.168.1.100,65531,192.168.1.1,80,6,2025-01-01 00:00:04,100,2,0,40,0,40,0,20,20,0,0,0,0,400000.0,20000.0,50,0,50,50,100,50,0,50,50,0,0,0,0,0,0,0,0,0,80,0,20000.0,0.0,0,40,20,20,400,0,1,0,0,0,0,0,0,1,20,20,0,80,0,0,0,0,0,0,2,40,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
10.0.0.5-10.0.0.1-80-80-6,10.0.0.5,80,10.0.0.1,80,6,2025-01-01 00:00:00,1000,1000,0,10000,0,100,0,50,50,0,0,0,0,10000.0,1000.0,1,0,1,1,1000,1,0,1,1,0,0,0,0,0,0,0,0,0,40000,0,1000.0,0.0,0,100,50,50,2500,0,1,0,0,1,0,0,0,1,50,50,0,40000,0,0,0,0,0,0,1000,10000,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dos
10.0.0.5-10.0.0.1-80-80-6,10.0.0.5,80,10.0.0.1,80,6,2025-01-01 00:00:01,1000,1200,0,12000,0,100,0,50,50,0,0,0,0,12000.0,1200.0,1,0,1,1,1000,1,0,1,1,0,0,0,0,0,0,0,0,0,48000,0,1200.0,0.0,0,100,50,50,2500,0,1,0,0,1,0,0,0,1,50,50,0,48000,0,0,0,0,0,0,1200,12000,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dos
10.0.0.5-10.0.0.1-80-80-6,10.0.0.5,80,10.0.0.1,80,6,2025-01-01 00:00:02,1000,1500,0,15000,0,100,0,50,50,0,0,0,0,15000.0,1500.0,1,0,1,1,1000,1,0,1,1,0,0,0,0,0,0,0,0,0,60000,0,1500.0,0.0,0,100,50,50,2500,0,1,0,0,1,0,0,0,1,50,50,0,60000,0,0,0,0,0,0,1500,15000,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dos
10.0.0.5-10.0.0.1-80-80-6,10.0.0.5,80,10.0.0.1,80,6,2025-01-01 00:00:03,1000,2000,0,20000,0,100,0,50,50,0,0,0,0,20000.0,2000.0,1,0,1,1,1000,1,0,1,1,0,0,0,0,0,0,0,0,0,80000,0,2000.0,0.0,0,100,50,50,2500,0,1,0,0,1,0,0,0,1,50,50,0,80000,0,0,0,0,0,0,2000,20000,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dos
10.0.0.5-10.0.0.1-80-80-6,10.0.0.5,80,10.0.0.1,80,6,2025-01-01 00:00:04,1000,2500,0,25000,0,100,0,50,50,0,0,0,0,25000.0,2500.0,1,0,1,1,1000,1,0,1,1,0,0,0,0,0,0,0,0,0,100000,0,2500.0,0.0,0,100,50,50,2500,0,1,0,0,1,0,0,0,1,50,50,0,100000,0,0,0,0,0,0,2500,25000,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dos
172.16.0.10-192.168.1.1-22-22-6,172.16.0.10,22,192.168.1.1,22,6,2025-01-01 00:00:00,5000,10,0,100,0,100,0,50,50,0,0,0,0,20000.0,2000.0,500,0,500,500,5000,500,0,500,500,0,0,0,0,0,0,0,0,0,400,0,2000.0,0.0,0,100,50,50,2500,0,1,0,0,0,0,0,0,1,50,50,0,400,0,0,0,0,0,0,10,100,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BruteForce
172.16.0.10-192.168.1.1-22-22-6,172.16.0.10,22,192.168.1.1,22,6,2025-01-01 00:00:01,5000,10,0,100,0,100,0,50,50,0,0,0,0,20000.0,2000.0,500,0,500,500,5000,500,0,500,500,0,0,0,0,0,0,0,0,0,400,0,2000.0,0.0,0,100,50,50,2500,0,1,0,0,0,0,0,0,1,50,50,0,400,0,0,0,0,0,0,10,100,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BruteForce
172.16.0.10-192.168.1.1-22-22-6,172.16.0.10,22,192.168.1.1,22,6,2025-01-01 00:00:02,5000,10,0,100,0,100,0,50,50,0,0,0,0,20000.0,2000.0,500,0,500,500,5000,500,0,500,500,0,0,0,0,0,0,0,0,0,400,0,2000.0,0.0,0,100,50,50,2500,0,1,0,0,0,0,0,0,1,50,50,0,400,0,0,0,0,0,0,10,100,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BruteForce
172.16.0.11-192.168.1.1-3389-3389-6,172.16.0.11,3389,192.168.1.1,3389,6,2025-01-01 00:00:00,6000,15,0,150,0,100,0,50,50,0,0,0,0,25000.0,2500.0,400,0,400,400,6000,400,0,400,400,0,0,0,0,0,0,0,0,0,600,0,2500.0,0.0,0,100,50,50,2500,0,1,0,0,0,0,0,0,1,50,50,0,600,0,0,0,0,0,0,15,150,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BruteForce
172.16.0.11-192.168.1.1-3389-3389-6,172.16.0.11,3389,192.168.1.1,3389,6,2025-01-01 00:00:01,6000,15,0,150,0,100,0,50,50,0,0,0,0,25000.0,2500.0,400,0,400,400,6000,400,0,400,400,0,0,0,0,0,0,0,0,0,600,0,2500.0,0.0,0,100,50,50,2500,0,1,0,0,0,0,0,0,1,50,50,0,600,0,0,0,0,0,0,15,150,0,0,8192,8192,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BruteForce
