Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.239.193-10.0.3.104-62783-80-6,192.168.239.193,62783,10.0.3.104,80,6,2026-04-19 18:40:25,108,4,0,194,28,48,40,48,6,0,0,0,2,2055555.5555555553,37037.03703703704,27.0,91,108,7,108,27.0,42,108,4,0,0,0,0,0,4,0,0,0,160,0,37037.03703703704,0.0,40,100,55.5,14,253,0,1,0,4,4,0,0,0,0.14432989690721648,55.5,48.5,0.0,160,0,0,0,0,0,0,4,194,0,28,16384,16384,4,40,54.0,36,108,34,0,0,0,0,PortScan
192.168.196.210-10.0.1.45-39923-80-6,192.168.196.210,39923,10.0.1.45,80,6,2026-04-19 18:40:26,71,3,0,166,0,55,40,55,16,0,0,0,1,2338028.1690140846,42253.52112676056,23.666666666666668,48,71,9,71,23.666666666666668,35,71,5,0,0,0,0,0,3,0,0,0,120,0,42253.52112676056,0.0,40,100,55.333333333333336,46,211,0,1,1,3,3,0,0,0,0.0,55.333333333333336,55.333333333333336,0.0,120,0,0,0,0,0,0,3,166,0,0,32768,32768,3,40,35.5,83,71,14,0,0,0,0,PortScan
192.168.146.188-10.0.7.208-38119-8080-6,192.168.146.188,38119,10.0.7.208,8080,6,2026-04-19 18:40:27,122,1,0,176,24,176,40,176,18,0,0,0,2,1639344.262295082,8196.72131147541,122.0,79,122,9,122,122.0,49,122,3,0,0,0,0,0,1,0,0,0,40,0,8196.72131147541,0.0,40,176,200.0,36,354,1,1,1,1,1,0,0,0,0.13636363636363635,200.0,176.0,0.0,40,0,0,0,0,0,0,1,176,0,24,65536,8192,1,40,61.0,30,122,49,0,0,0,0,PortScan
192.168.219.61-10.0.2.206-58534-3389-6,192.168.219.61,58534,10.0.2.206,3389,6,2026-04-19 18:40:28,57,1,0,75,2,75,40,75,14,0,0,0,4,1350877.1929824562,17543.859649122805,57.0,22,57,2,57,57.0,29,57,5,0,0,0,0,0,1,0,0,0,40,0,17543.859649122805,0.0,40,100,77.0,32,333,0,1,1,1,1,0,0,0,0.02666666666666667,77.0,75.0,0.0,40,0,0,0,0,0,0,1,75,0,2,65536,32768,1,40,28.5,79,57,41,0,0,0,0,PortScan
192.168.77.99-10.0.4.210-11044-8080-6,192.168.77.99,11044,10.0.4.210,8080,6,2026-04-19 18:40:29,173,4,0,95,2,23,40,23,17,0,0,0,3,560693.6416184971,23121.387283236993,43.25,68,173,4,173,43.25,43,173,4,0,0,0,0,0,4,0,0,0,160,0,23121.387283236993,0.0,40,100,24.25,34,246,0,1,1,4,4,0,0,0,0.021052631578947368,24.25,23.75,0.0,160,0,0,0,0,0,0,4,95,0,2,8192,16384,4,40,86.5,98,173,29,0,0,0,0,PortScan
192.168.67.91-10.0.3.29-28433-8080-6,192.168.67.91,28433,10.0.3.29,8080,6,2026-04-19 18:40:30,200,5,0,100,8,20,40,20,19,0,0,0,6,540000.0,25000.0,40.0,96,200,2,200,40.0,16,200,4,0,0,0,0,0,5,0,0,0,200,0,25000.0,0.0,40,100,21.6,38,439,0,1,0,5,5,0,0,0,0.08,21.6,20.0,0.0,200,0,0,0,0,0,0,5,100,0,8,32768,16384,5,40,100.0,53,200,30,0,0,0,0,PortScan
192.168.124.117-10.0.2.190-2209-22-6,192.168.124.117,2209,10.0.2.190,22,6,2026-04-19 18:40:31,106,2,0,189,29,94,40,94,15,0,0,0,9,2056603.7735849058,18867.924528301886,53.0,42,106,9,106,53.0,47,106,3,0,0,0,0,0,2,0,0,0,80,0,18867.924528301886,0.0,40,100,109.0,32,220,0,1,1,2,2,0,0,0,0.15343915343915343,109.0,94.5,0.0,80,0,0,0,0,0,0,2,189,0,29,8192,8192,2,40,53.0,11,106,35,0,0,0,0,PortScan
192.168.92.100-10.0.7.38-60844-80-6,192.168.92.100,60844,10.0.7.38,80,6,2026-04-19 18:40:32,156,4,0,119,11,29,40,29,19,0,0,0,2,833333.3333333334,25641.02564102564,39.0,82,156,5,156,39.0,50,156,4,0,0,0,0,0,4,0,0,0,160,0,25641.02564102564,0.0,40,100,32.5,17,127,0,1,1,4,4,0,0,0,0.09243697478991597,32.5,29.75,0.0,160,0,0,0,0,0,0,4,119,0,11,32768,8192,4,40,78.0,31,156,16,0,0,0,0,PortScan
192.168.105.5-10.0.6.128-44422-80-6,192.168.105.5,44422,10.0.6.128,80,6,2026-04-19 18:40:33,59,4,0,135,22,33,40,33,6,0,0,0,7,2661016.9491525423,67796.61016949153,14.75,76,59,10,59,14.75,17,59,3,0,0,0,0,0,4,0,0,0,160,0,67796.61016949153,0.0,40,100,39.25,42,432,1,1,1,4,4,0,0,0,0.16296296296296298,39.25,33.75,0.0,160,0,0,0,0,0,0,4,135,0,22,32768,32768,4,40,29.5,83,59,36,0,0,0,0,PortScan
192.168.223.80-10.0.9.169-44270-80-6,192.168.223.80,44270,10.0.9.169,80,6,2026-04-19 18:40:34,65,5,0,153,12,30,40,30,7,0,0,0,6,2538461.5384615385,76923.07692307692,13.0,99,65,3,65,13.0,10,65,1,0,0,0,0,0,5,0,0,0,200,0,76923.07692307692,0.0,40,100,33.0,13,181,1,1,1,5,5,0,0,0,0.0784313725490196,33.0,30.6,0.0,200,0,0,0,0,0,0,5,153,0,12,65536,32768,5,40,32.5,73,65,43,0,0,0,0,PortScan
