Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
ddos-0,10.0.0.1,59148,192.168.1.100,80,6,2024-01-01 10:00:00,4600.536051818513,75,0,178104,0,1052.190333934791,50.97162861816557,2374.72,105.45694519183068,0.0,0.0,0.0,0.0,38713749.44004591,16302.448052842403,61.340480690913516,13.84784641117487,1222.0701154183903,2.929456578858514,4600.536051818513,61.340480690913516,61.69418831415864,1547.5905488653905,6.348819280811307,0.0,0.0,0.0,0.0,0.0,75,0,0,0,3000,0,16302.448052842403,0.0,42.6702409359855,1321.5659779235614,2374.72,161.14182997619628,20976.85273555997,0,4,0,75,75,0,0,0,0.0,2374.72,2374.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,178104,0,0,36368,0,75,44,211.53310415727162,195.02122130389122,2533.449543118048,54.04757744505163,0.0,0.0,0.0,0.0,DDoS
ddos-1,10.0.1.2,63880,192.168.1.100,80,6,2024-01-01 10:00:00,1764.412088575266,175,0,53983,0,1249.7102107482872,52.94905462748727,308.4742857142857,112.0439859032621,0.0,0.0,0.0,0.0,30595460.294987205,99183.17899380844,10.082354791858663,98.04309509824725,542.1171809058144,5.828926754385534,1764.412088575266,10.082354791858663,47.24253296314055,1209.617623808235,8.44384861282856,0.0,0.0,0.0,0.0,0.0,175,0,0,0,7000,0,99183.17899380844,0.0,42.2658778667274,1400.3246130086266,308.4742857142857,92.88450668510691,34461.87536754653,0,3,0,175,175,0,0,0,0.0,308.4742857142857,308.4742857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,53983,0,0,51856,0,175,42,445.98266091156813,150.51129221984115,1980.0764633644799,98.30695181384321,0.0,0.0,0.0,0.0,DDoS
ddos-2,10.0.2.3,36220,192.168.1.100,80,6,2024-01-01 10:00:00,1313.4322505952123,50,0,151329,0,1073.2343469234934,46.65301367459116,3026.58,176.8706714855441,0.0,0.0,0.0,0.0,115216449.06421457,38068.19878021218,26.268645011904244,69.21567467253118,1997.7140869076725,7.5822032569958875,1313.4322505952123,26.268645011904244,20.73357410257244,766.4736160119035,2.4225655408363,0.0,0.0,0.0,0.0,0.0,50,0,0,0,2000,0,38068.19878021218,0.0,42.148245654308866,1044.6917394515976,3026.58,145.74076058641816,8841.589654626674,0,2,0,50,50,0,0,0,0.0,3026.58,3026.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,151329,0,0,32040,0,50,55,162.9771101496572,157.74197446973267,1970.7929865360684,52.751514881215996,0.0,0.0,0.0,0.0,DDoS
ddos-3,10.0.3.4,24045,192.168.1.100,80,6,2024-01-01 10:00:00,3238.519121664735,88,0,169609,0,1431.6957295036727,49.161436384281515,1927.375,82.18839257825903,0.0,0.0,0.0,0.0,52372394.180218354,27172.91351201419,36.801353655281076,27.498757866698153,1276.4004869983282,3.5267185366261313,3238.519121664735,36.801353655281076,26.632456083435187,1318.0005500452394,2.388088858982844,0.0,0.0,0.0,0.0,0.0,88,0,0,0,3520,0,27172.91351201419,0.0,48.428219836298865,1340.0879496720072,1927.375,123.13275454038758,32357.16586415032,0,1,0,88,88,0,0,0,0.0,1927.375,1927.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,169609,0,0,43744,0,88,53,408.34043110105915,171.02929137599517,1537.3700771485474,87.9826605546216,0.0,0.0,0.0,0.0,DDoS
ddos-4,10.0.4.5,4177,192.168.1.100,80,6,2024-01-01 10:00:00,3216.262324854656,195,0,147651,0,1190.624990529393,45.07407877845505,757.1846153846154,165.9851079816149,0.0,0.0,0.0,0.0,45907635.97203546,60629.382899857876,16.493652947972596,47.46356351937419,1385.4125374520388,3.208534222555535,3216.262324854656,16.493652947972596,37.86375332485541,1274.4906897364526,2.2761989692216518,0.0,0.0,0.0,0.0,0.0,195,0,0,0,7800,0,60629.382899857876,0.0,51.83780731702422,1304.652846106366,757.1846153846154,153.30271026562602,37926.968550923164,0,1,0,195,195,0,0,0,0.0,757.1846153846154,757.1846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195,147651,0,0,34456,0,195,53,119.12436665966246,176.1033930779626,2987.846448526334,92.89937480242766,0.0,0.0,0.0,0.0,DDoS
ddos-5,10.0.0.6,40619,192.168.1.100,80,6,2024-01-01 10:00:00,3353.1820303420695,161,0,161686,0,1144.441326639691,54.91159114379009,1004.2608695652174,174.62598872161158,0.0,0.0,0.0,0.0,48218676.629227266,48014.09483384826,20.827217579764408,76.59560706626777,795.4184240072251,3.180695413568236,3353.1820303420695,20.827217579764408,97.99641093975934,1752.0530139236214,6.230979100288476,0.0,0.0,0.0,0.0,0.0,161,0,0,0,6440,0,48014.09483384826,0.0,44.18444852923917,1162.4175081130809,1004.2608695652174,173.14848011722694,19752.10205170399,0,2,0,161,161,0,0,0,0.0,1004.2608695652174,1004.2608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,161686,0,0,55025,0,161,52,183.39583239905045,177.31309506788003,1504.7898650790637,66.062258886916,0.0,0.0,0.0,0.0,DDoS
ddos-6,10.0.1.7,18699,192.168.1.100,80,6,2024-01-01 10:00:00,1631.0660634705143,192,0,117110,0,1365.5545418920751,48.44442731043297,609.9479166666666,103.83364135045836,0.0,0.0,0.0,0.0,71799666.86991099,117714.42267118869,8.495135747242262,37.65205692595887,560.1903935026108,1.4896109713404182,1631.0660634705143,8.495135747242262,90.79275841334947,1833.1986272272038,2.081231637158508,0.0,0.0,0.0,0.0,0.0,192,0,0,0,7680,0,117714.42267118869,0.0,48.0113927239239,1458.3514146087882,609.9479166666666,93.6922602562731,19202.715172286655,0,2,0,192,192,0,0,0,0.0,609.9479166666666,609.9479166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,117110,0,0,21650,0,192,43,363.5422320069652,170.06279882499086,1047.360817092927,38.92235286792645,0.0,0.0,0.0,0.0,DDoS
ddos-7,10.0.2.8,18223,192.168.1.100,80,6,2024-01-01 10:00:00,3674.065452220748,82,0,56276,0,1269.4918413919822,42.77626824842988,686.2926829268292,74.31657904687061,0.0,0.0,0.0,0.0,15317092.395832144,22318.600761572176,44.80567624659449,34.78714591370074,1595.1979496041904,3.323675748123899,3674.065452220748,44.80567624659449,93.92523362384205,1877.423944030166,3.3858456866962796,0.0,0.0,0.0,0.0,0.0,82,0,0,0,3280,0,22318.600761572176,0.0,40.82865520618559,1145.547305238695,686.2926829268292,178.87884696958182,15613.592936884657,0,2,0,82,82,0,0,0,0.0,686.2926829268292,686.2926829268292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,56276,0,0,51988,0,82,52,437.59145534117835,171.81632144249969,2394.7776322887776,67.99151813233459,0.0,0.0,0.0,0.0,DDoS
ddos-8,10.0.3.9,15663,192.168.1.100,80,6,2024-01-01 10:00:00,1265.6132932686312,140,0,93388,0,1315.9966468168896,51.43418055255581,667.0571428571428,161.79246436935372,0.0,0.0,0.0,0.0,73788731.91100249,110618.30714374811,9.040094951918794,22.509919546264268,1559.3009032857562,3.224203673273906,1265.6132932686312,9.040094951918794,59.74300571004644,1059.4659876397886,7.6187071847334105,0.0,0.0,0.0,0.0,0.0,140,0,0,0,5600,0,110618.30714374811,0.0,51.53578816163534,1419.1521964379992,667.0571428571428,129.37545446548836,17548.06900870511,0,2,0,140,140,0,0,0,0.0,667.0571428571428,667.0571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,93388,0,0,54327,0,140,43,195.37481502054285,75.77928355863537,2048.9697598738944,19.74190092485946,0.0,0.0,0.0,0.0,DDoS
ddos-9,10.0.4.10,18205,192.168.1.100,80,6,2024-01-01 10:00:00,3693.7287610124254,114,0,95218,0,1385.7178116574446,57.90328595049151,835.2456140350877,173.9699570297203,0.0,0.0,0.0,0.0,25778286.972512137,30863.121624759853,32.40112948256513,37.56613809689652,1723.134413434375,9.923623122769998,3693.7287610124254,32.40112948256513,36.687061066741485,1827.8632518066493,4.576969399319231,0.0,0.0,0.0,0.0,0.0,114,0,0,0,4560,0,30863.121624759853,0.0,50.62901798206927,1249.4775050908336,835.2456140350877,156.34108949112988,16558.005236011337,0,1,0,114,114,0,0,0,0.0,835.2456140350877,835.2456140350877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,95218,0,0,39585,0,114,50,284.1634276891659,93.83516810122126,1544.8531013774532,98.32532736992789,0.0,0.0,0.0,0.0,DDoS
